ID,plugin,stimulus,choices,preamble,stimuli,answer,same_key,different_key,options,html,length,prompt
1,audio-button-response,media/audios/ALL/BART_explode.mp3,1;2,preamble,,,,,,,NA,"PLUGIN: audio-button-response| CHOICES: 1, 2 | answer: "
2,html-button-response,media/html/ALL/consent-placeholder.html,1;2,preamble,,,,,,,NA,"PLUGIN: html-button-response| CHOICES: 1, 2 | answer: "
3,html-keyboard-response,media/html/ALL/consent-placeholder.html,1;2,preamble,,,,,,,NA,"PLUGIN: html-keyboard-response| CHOICES: 1, 2 | answer: "
4,html-slider-response,media/html/ALL/consent-placeholder.html,1;2,preamble,,,,,,,NA,"PLUGIN: html-slider-response| CHOICES: 1, 2 | answer: "
5,image-button-response,media/images/ALL/fox.jpg,1;2,preamble,,,,,,,NA,"PLUGIN: image-button-response| CHOICES: 1, 2 | answer: "
6,image-keyboard-response,media/images/ALL/fox.jpg,1;2,preamble,,,,,,,NA,"PLUGIN: image-keyboard-response| CHOICES: 1, 2 | answer: "
7,image-slider-response,media/images/ALL/fox.jpg,1;2,preamble,,,,,,,NA,"PLUGIN: image-slider-response| CHOICES: 1, 2 | answer: "
8,same-different-html,media/html/ALL/consent-placeholder.html,1;2,preamble,media/html/ALL/consent-placeholder.html; media/html/ALL/consent-placeholder.html,a,a,a,,,NA,"PLUGIN: same-different-html| CHOICES: 1, 2 | answer: a"
9,same-different-image,media/images/ALL/fox.jpg,1;2,preamble,media/images/ALL/fox.jpg; media/images/ALL/fox.jpg,b,b,b,,,NA,"PLUGIN: same-different-image| CHOICES: 1, 2 | answer: b"
10,survey-html-form,media/html/ALL/consent-placeholder.html,1;2,preamble,,,,,,"<p> I am feeling <input name=""first"" type=""text"" />, <input name=""second"" type=""text"" />, and <input name=""third"" type=""text"" />.</p>",NA,"PLUGIN: survey-html-form| CHOICES: 1, 2 | answer: "
11,survey-multi-choice-horizontal,,1;2,preamble,,,,,one; two,,NA,"PLUGIN: survey-multi-choice-horizontal| CHOICES: 1, 2 | answer: "
12,survey-multi-choice-vertical,,1;2,preamble,,,,,one; two,,NA,"PLUGIN: survey-multi-choice-vertical| CHOICES: 1, 2 | answer: "
13,survey-multi-choice,,1;2,preamble,,,,,one; two,,NA,"PLUGIN: survey-multi-choice| CHOICES: 1, 2 | answer: "
14,survey-multi-select,,1;2,preamble,,,,,one; two,,2,"PLUGIN: survey-multi-select| CHOICES: 1, 2 | answer: "
15,survey-text,,1;2,preamble,,,,,,,NA,"PLUGIN: survey-text| CHOICES: 1, 2 | answer: "
16,video-button-response,media/videos/ALL/Entrevista1.mp4,1;2,preamble,,,,,,,NA,"PLUGIN: video-button-response| CHOICES: 1, 2 | answer: "
17,video-keyboard-response,media/videos/ALL/Entrevista1.mp4,1;2,preamble,,,,,,,NA,"PLUGIN: video-keyboard-response| CHOICES: 1, 2 | answer: "
18,video-slider-response,media/videos/ALL/Entrevista1.mp4,1;2,preamble,,,,,,,NA,"PLUGIN: video-slider-response| CHOICES: 1, 2 | answer: "
